id,date,store_id,product_id,quantity_on_hand,days_until_expiry,freshness_score
45,2025-12-01,1,78,19.6,2,0.4
46,2025-12-01,1,36,18.4,7,1.0
47,2025-12-01,1,60,22.3,1,0.33
48,2025-12-01,1,114,13.6,64,0.36
49,2025-12-01,1,19,6.2,1,0.2
50,2025-12-01,1,95,26.7,54,0.15
51,2025-12-01,1,41,5.0,28,0.93
52,2025-12-01,1,125,10.6,118,0.66
53,2025-12-01,1,141,7.0,1,1.0
54,2025-12-01,1,132,12.1,14,0.08
55,2025-12-01,1,67,4.6,0,0.0
56,2025-12-01,1,44,9.6,1,0.1
57,2025-12-01,1,74,8.9,2,1.0
58,2025-12-01,1,129,11.0,65,0.36
59,2025-12-01,1,38,4.1,14,1.0
60,2025-12-01,1,89,4.0,23,0.77
61,2025-12-01,1,111,2.4,96,0.26
62,2025-12-01,1,107,9.5,375,0.51
63,2025-12-01,1,42,4.5,2,0.4
64,2025-12-01,1,147,9.2,6,0.6
65,2025-12-01,1,35,4.8,0,0.0
66,2025-12-01,1,144,3.4,3,0.6
67,2025-12-01,1,148,1.8,9,0.9
68,2025-12-01,1,4,5.9,3,0.21
69,2025-12-01,1,76,5.7,66,0.09
70,2025-12-01,1,61,14.6,3,1.0
71,2025-12-01,1,94,13.5,152,0.84
72,2025-12-01,1,85,16.1,0,0.0
73,2025-12-01,1,142,2.6,153,0.85
74,2025-12-01,1,109,7.6,223,0.61
75,2025-12-01,1,47,17.4,1,0.14
76,2025-12-01,1,43,13.5,4,0.8
77,2025-12-01,2,15,24.6,20,0.95
78,2025-12-01,2,107,4.4,201,0.28
79,2025-12-01,2,118,7.3,138,0.38
80,2025-12-01,2,34,11.8,5,1.0
81,2025-12-01,2,62,14.0,3,1.0
82,2025-12-01,2,51,13.6,7,0.5
83,2025-12-01,2,76,8.1,616,0.84
84,2025-12-01,2,36,13.1,3,0.43
85,2025-12-01,2,11,4.8,6,0.86
86,2025-12-01,2,83,7.8,4,0.8
87,2025-12-01,2,78,9.4,0,0.0
88,2025-12-01,2,20,8.1,0,0.0
89,2025-12-01,2,41,5.8,19,0.63
90,2025-12-01,2,119,5.2,56,0.31
91,2025-12-01,2,25,21.6,4,0.57
92,2025-12-01,2,46,19.3,2,0.29
93,2025-12-01,2,63,4.0,2,0.67
94,2025-12-01,2,146,3.3,6,0.86
95,2025-12-01,2,112,7.4,611,0.84
96,2025-12-01,2,37,5.5,4,0.29
97,2025-12-01,2,70,10.7,0,0.0
98,2025-12-01,2,64,5.0,2,0.29
99,2025-12-01,2,116,11.4,87,0.97
100,2025-12-01,2,95,7.4,137,0.38
101,2025-12-01,2,24,37.9,21,1.0
102,2025-12-01,2,48,22.4,11,0.37
103,2025-12-01,2,102,10.9,106,0.29
104,2025-12-01,2,141,4.8,0,0.0
105,2025-12-01,2,71,7.8,1,0.5
106,2025-12-01,2,125,5.3,63,0.35
107,2025-12-01,2,85,12.5,1,0.5
108,2025-12-01,2,93,3.9,220,0.6
109,2025-12-01,2,39,8.7,7,1.0
110,2025-12-01,2,17,5.1,12,0.86
111,2025-12-01,2,132,3.8,118,0.66
112,2025-12-01,2,26,9.3,0,0.0
113,2025-12-01,2,111,3.4,53,0.15
114,2025-12-01,2,96,9.1,108,0.6
115,2025-12-01,2,90,2.5,9,0.64
116,2025-12-01,2,80,11.2,2,0.67
117,2025-12-01,2,127,8.3,67,0.56
118,2025-12-01,2,100,7.3,219,0.6
119,2025-12-01,2,27,13.3,3,0.6
120,2025-12-01,2,122,5.0,180,0.49
121,2025-12-01,2,6,2.4,2,0.29
122,2025-12-01,2,53,8.3,12,0.86
123,2025-12-01,2,33,14.1,3,0.43
124,2025-12-01,2,77,52.0,5,1.0
125,2025-12-01,2,88,6.8,9,0.9
126,2025-12-01,2,89,7.4,24,0.8
127,2025-12-01,2,115,6.6,259,0.71
128,2025-12-01,2,56,10.0,5,0.5
129,2025-12-01,2,98,7.7,588,0.81
130,2025-12-01,2,103,8.6,349,0.48
131,2025-12-01,2,75,6.3,75,0.1
132,2025-12-01,2,23,22.3,30,1.0
133,2025-12-01,2,147,7.9,8,0.8
134,2025-12-01,2,105,3.5,382,0.52
135,2025-12-01,2,134,2.8,14,1.0
136,2025-12-01,2,84,4.6,4,0.29
137,2025-12-01,2,16,2.9,0,0.0
138,2025-12-01,2,54,12.7,9,0.9
139,2025-12-01,2,79,16.4,5,1.0
140,2025-12-01,2,113,7.3,11,0.03
141,2025-12-01,2,44,7.2,3,0.3
142,2025-12-01,2,68,14.3,9,0.9
143,2025-12-01,2,12,29.1,5,1.0
144,2025-12-01,2,120,16.4,306,0.84
145,2025-12-01,2,104,10.6,883,0.48
146,2025-12-01,2,106,6.7,132,0.73
147,2025-12-01,3,102,6.9,210,0.58
148,2025-12-01,3,21,8.9,0,0.0
149,2025-12-01,3,11,4.6,7,1.0
150,2025-12-01,3,114,5.6,68,0.38
151,2025-12-01,3,47,30.2,5,0.71
152,2025-12-01,3,85,4.7,2,1.0
153,2025-12-01,3,50,13.0,8,0.57
154,2025-12-01,3,36,10.5,1,0.14
155,2025-12-01,3,38,10.3,1,0.07
156,2025-12-01,3,96,4.7,109,0.61
157,2025-12-01,3,7,17.7,7,0.7
158,2025-12-01,3,105,1.8,304,0.42
159,2025-12-01,3,82,5.5,1,0.33
160,2025-12-01,3,62,13.8,3,1.0
161,2025-12-01,3,123,2.1,50,0.28
162,2025-12-01,3,60,9.9,0,0.0
163,2025-12-01,3,133,0.8,6,0.05
164,2025-12-01,3,20,5.9,2,0.5
165,2025-12-01,3,97,12.1,306,0.42
166,2025-12-01,3,125,15.2,133,0.74
167,2025-12-01,3,59,17.4,1,0.33
168,2025-12-01,3,46,53.5,7,1.0
169,2025-12-01,3,45,20.3,20,0.95
170,2025-12-01,3,135,5.1,4,0.8
171,2025-12-01,3,39,5.9,2,0.29
172,2025-12-01,3,126,18.3,14,0.12
173,2025-12-01,3,139,9.7,1,0.33
174,2025-12-01,3,115,10.6,213,0.58
175,2025-12-01,3,56,6.2,6,0.6
176,2025-12-01,3,5,5.2,2,0.4
177,2025-12-01,3,10,13.9,4,0.5
178,2025-12-01,3,61,11.9,2,0.67
179,2025-12-01,3,13,4.9,2,0.29
180,2025-12-01,3,103,5.0,229,0.31
181,2025-12-01,3,87,13.7,10,1.0
182,2025-12-01,3,1,14.5,5,0.71
183,2025-12-01,3,19,6.3,4,0.8
184,2025-12-01,3,74,3.7,1,0.5
185,2025-12-01,3,8,17.8,9,0.9
186,2025-12-01,3,112,7.7,151,0.21
187,2025-12-01,3,107,5.9,668,0.92
188,2025-12-01,3,63,15.6,2,0.67
189,2025-12-01,3,89,4.6,17,0.57
190,2025-12-01,3,70,5.4,2,1.0
191,2025-12-01,3,4,16.1,4,0.29
192,2025-12-01,3,146,0.6,2,0.29
193,2025-12-01,3,72,7.0,0,0.0
194,2025-12-01,3,118,9.1,231,0.63
195,2025-12-01,3,43,8.5,3,0.6
196,2025-12-01,3,143,2.5,80,0.22
197,2025-12-01,3,66,3.1,0,0.0
198,2025-12-01,3,78,5.4,1,0.2
199,2025-12-01,3,141,1.2,1,1.0
200,2025-12-01,3,25,13.3,3,0.43
201,2025-12-01,3,15,8.1,21,1.0
202,2025-12-01,3,80,9.7,1,0.33
203,2025-12-01,3,111,12.5,267,0.73
204,2025-12-01,3,32,10.2,2,0.29
205,2025-12-01,3,35,4.7,3,0.6
206,2025-12-01,3,23,29.2,15,0.5
207,2025-12-01,3,33,11.6,2,0.29
208,2025-12-01,3,29,15.4,0,0.0
209,2025-12-01,3,34,14.7,0,0.0
210,2025-12-01,3,41,2.8,29,0.97
211,2025-12-01,3,67,3.8,0,0.0
212,2025-12-01,3,31,13.0,3,0.3
213,2025-12-01,3,140,2.7,4,0.8
214,2025-12-01,3,94,7.0,124,0.69
215,2025-12-01,4,114,15.9,128,0.71
216,2025-12-01,4,129,18.7,175,0.97
217,2025-12-01,4,34,14.8,5,1.0
218,2025-12-01,4,46,71.6,2,0.29
219,2025-12-01,4,122,4.4,302,0.83
220,2025-12-01,4,99,16.0,118,0.16
221,2025-12-01,4,38,20.6,9,0.64
222,2025-12-01,4,147,5.1,1,0.1
223,2025-12-01,4,130,13.0,118,0.32
224,2025-12-01,4,113,11.4,75,0.21
225,2025-12-01,4,4,6.5,0,0.0
226,2025-12-01,4,33,12.4,3,0.43
227,2025-12-01,4,70,2.3,2,1.0
228,2025-12-01,4,59,22.1,1,0.33
229,2025-12-01,4,141,4.0,1,1.0
230,2025-12-01,4,37,10.4,5,0.36
231,2025-12-01,4,71,10.9,1,0.5
232,2025-12-01,4,17,6.9,13,0.93
233,2025-12-01,4,61,19.5,0,0.0
234,2025-12-01,4,2,12.5,21,1.0
235,2025-12-01,4,52,28.0,1,0.03
236,2025-12-01,4,54,7.4,7,0.7
237,2025-12-01,4,20,4.6,3,0.75
238,2025-12-01,4,142,9.1,137,0.76
239,2025-12-01,4,106,18.1,174,0.97
240,2025-12-01,4,41,5.7,9,0.3
241,2025-12-01,4,26,3.6,0,0.0
242,2025-12-01,4,108,11.4,130,0.72
243,2025-12-01,4,35,9.1,4,0.8
244,2025-12-01,4,112,2.5,643,0.88
245,2025-12-01,4,8,14.2,10,1.0
246,2025-12-01,4,78,20.9,3,0.6
247,2025-12-01,4,67,6.3,2,0.67
248,2025-12-01,4,49,0.5,9,0.64
249,2025-12-01,4,133,7.7,119,0.99
250,2025-12-01,4,44,8.3,6,0.6
251,2025-12-01,4,140,6.7,0,0.0
252,2025-12-01,4,137,23.6,0,0.0
253,2025-12-01,4,90,10.1,7,0.5
254,2025-12-01,4,134,11.8,0,0.0
255,2025-12-01,4,76,7.3,705,0.97
256,2025-12-01,4,16,5.4,5,0.36
257,2025-12-01,4,6,10.8,4,0.57
258,2025-12-01,4,101,19.5,222,0.61
259,2025-12-01,5,107,3.7,359,0.49
260,2025-12-01,5,110,6.8,134,0.18
261,2025-12-01,5,25,13.2,3,0.43
262,2025-12-01,5,84,20.4,10,0.71
263,2025-12-01,5,80,4.7,0,0.0
264,2025-12-01,5,12,9.7,2,0.4
265,2025-12-01,5,16,5.6,0,0.0
266,2025-12-01,5,21,25.9,2,0.2
267,2025-12-01,5,66,5.9,0,0.0
268,2025-12-01,5,74,3.4,0,0.0
269,2025-12-01,5,121,3.6,82,0.46
270,2025-12-01,5,90,17.6,13,0.93
271,2025-12-01,5,144,8.3,1,0.2
272,2025-12-01,5,97,18.0,297,0.41
273,2025-12-01,5,70,12.6,2,1.0
274,2025-12-01,5,20,1.4,2,0.5
275,2025-12-01,5,137,18.0,2,0.4
276,2025-12-01,5,108,12.1,53,0.29
277,2025-12-01,5,143,1.4,302,0.83
278,2025-12-01,5,95,13.8,107,0.29
279,2025-12-01,5,49,21.5,11,0.79
280,2025-12-01,5,128,7.8,84,0.47
281,2025-12-01,5,92,16.5,162,0.9
282,2025-12-01,5,52,20.1,18,0.6
283,2025-12-01,5,14,9.5,3,0.21
284,2025-12-01,5,141,3.8,0,0.0
285,2025-12-01,5,111,4.3,79,0.22
286,2025-12-01,5,18,3.5,14,0.67
287,2025-12-01,5,96,12.3,87,0.48
288,2025-12-01,5,89,9.8,2,0.07
289,2025-12-01,6,128,5.1,164,0.91
290,2025-12-01,6,56,4.1,10,1.0
291,2025-12-01,6,127,7.7,49,0.41
292,2025-12-01,6,18,9.1,3,0.14
293,2025-12-01,6,112,13.7,728,1.0
294,2025-12-01,6,118,4.3,293,0.8
295,2025-12-01,6,8,6.6,4,0.4
296,2025-12-01,6,97,23.2,507,0.69
297,2025-12-01,6,45,3.6,9,0.43
298,2025-12-01,6,63,5.5,1,0.33
299,2025-12-01,6,71,10.8,2,1.0
300,2025-12-01,6,30,3.9,3,0.3
301,2025-12-01,6,125,1.5,71,0.39
302,2025-12-01,6,10,3.2,8,1.0
303,2025-12-01,6,35,17.5,5,1.0
304,2025-12-01,6,136,6.7,0,0.0
305,2025-12-01,6,146,3.2,0,0.0
306,2025-12-01,6,83,4.8,5,1.0
307,2025-12-01,6,4,20.8,11,0.79
308,2025-12-01,6,110,7.6,165,0.23
309,2025-12-01,6,98,21.2,698,0.96
310,2025-12-01,6,50,29.7,7,0.5
311,2025-12-01,6,138,3.0,5,1.0
312,2025-12-01,6,20,4.1,3,0.75
313,2025-12-01,6,15,5.7,0,0.0
314,2025-12-01,6,42,4.8,3,0.6
315,2025-12-01,6,96,10.2,177,0.98
316,2025-12-01,6,12,12.7,2,0.4
317,2025-12-01,6,72,3.8,2,1.0
318,2025-12-01,6,31,18.8,3,0.3
319,2025-12-01,6,75,16.0,151,0.21
320,2025-12-01,6,93,3.8,301,0.82
321,2025-12-01,6,62,13.4,3,1.0
322,2025-12-01,6,74,6.2,1,0.5
323,2025-12-01,6,142,2.1,31,0.17
324,2025-12-01,6,44,5.1,2,0.2
325,2025-12-01,6,24,17.8,13,0.62
326,2025-12-01,6,19,5.5,4,0.8
327,2025-12-01,6,121,3.8,36,0.2
328,2025-12-01,6,26,13.0,5,0.71
329,2025-12-01,6,119,4.9,168,0.93
330,2025-12-01,6,22,19.9,8,0.27
331,2025-12-01,6,68,11.4,0,0.0
332,2025-12-01,6,114,17.2,170,0.94
333,2025-12-01,6,59,12.7,1,0.33
334,2025-12-01,6,147,4.8,8,0.8
335,2025-12-01,6,102,15.4,332,0.91
336,2025-12-01,6,89,5.7,5,0.17
337,2025-12-01,6,69,12.4,12,0.57
338,2025-12-01,6,53,6.3,13,0.93
339,2025-12-01,6,67,4.3,2,0.67
340,2025-12-01,7,2,23.8,5,0.24
341,2025-12-01,7,91,12.6,76,0.21
342,2025-12-01,7,84,9.4,8,0.57
343,2025-12-01,7,105,5.7,101,0.14
344,2025-12-01,7,64,14.7,6,0.86
345,2025-12-01,7,121,3.2,107,0.59
346,2025-12-01,7,44,2.6,8,0.8
347,2025-12-01,7,114,10.6,95,0.53
348,2025-12-01,7,43,4.9,0,0.0
349,2025-12-01,7,10,6.4,7,0.88
350,2025-12-01,7,119,2.8,30,0.17
351,2025-12-01,7,137,12.1,4,0.8
352,2025-12-01,7,28,13.7,0,0.0
353,2025-12-01,7,76,3.0,24,0.03
354,2025-12-01,7,34,17.2,2,0.4
355,2025-12-01,7,108,18.8,3,0.02
356,2025-12-01,7,63,6.4,1,0.33
357,2025-12-01,7,88,10.2,0,0.0
358,2025-12-01,7,141,5.4,1,1.0
359,2025-12-01,7,93,4.5,201,0.55
360,2025-12-01,7,94,7.5,115,0.64
361,2025-12-01,7,20,7.1,4,1.0
362,2025-12-01,7,144,5.5,1,0.2
363,2025-12-01,7,124,13.6,113,0.31
364,2025-12-01,7,33,8.6,3,0.43
365,2025-12-01,7,36,4.2,0,0.0
366,2025-12-01,7,52,12.9,8,0.27
367,2025-12-01,7,56,5.8,9,0.9
368,2025-12-01,7,59,12.1,2,0.67
369,2025-12-01,7,90,11.1,1,0.07
370,2025-12-01,7,95,11.8,28,0.08
371,2025-12-01,7,25,12.2,6,0.86
372,2025-12-01,7,101,7.6,14,0.04
373,2025-12-01,7,1,44.3,2,0.29
374,2025-12-01,7,96,7.9,89,0.49
375,2025-12-01,7,37,5.4,13,0.93
376,2025-12-01,7,142,3.2,122,0.68
377,2025-12-01,7,57,6.6,13,0.93
378,2025-12-01,7,134,7.9,4,0.29
379,2025-12-01,7,6,11.5,2,0.29
380,2025-12-01,7,87,18.2,3,0.3
381,2025-12-01,7,112,6.5,163,0.22
382,2025-12-01,7,31,9.1,4,0.4
383,2025-12-01,7,8,3.0,3,0.3
384,2025-12-01,8,86,7.0,4,0.8
385,2025-12-01,8,110,20.4,92,0.13
386,2025-12-01,8,69,2.9,2,0.1
387,2025-12-01,8,23,48.2,21,0.7
388,2025-12-01,8,15,16.7,5,0.24
389,2025-12-01,8,118,6.2,358,0.98
390,2025-12-01,8,33,15.3,7,1.0
391,2025-12-01,8,113,3.2,78,0.21
392,2025-12-01,8,131,3.6,4,0.01
393,2025-12-01,8,49,4.2,0,0.0
394,2025-12-01,8,57,8.5,8,0.57
395,2025-12-01,8,107,6.2,431,0.59
396,2025-12-01,8,112,2.2,706,0.97
397,2025-12-01,8,89,9.8,15,0.5
398,2025-12-01,8,65,13.1,4,0.57
399,2025-12-01,8,9,10.9,7,0.5
400,2025-12-01,8,114,9.9,131,0.73
401,2025-12-01,8,14,13.7,4,0.29
402,2025-12-01,8,62,15.7,2,0.67
403,2025-12-01,8,124,7.1,182,0.5
404,2025-12-01,8,106,2.6,117,0.65
405,2025-12-01,8,126,12.1,72,0.6
406,2025-12-01,8,133,5.5,60,0.5
407,2025-12-01,8,136,5.6,1,0.2
408,2025-12-01,8,97,27.9,451,0.62
409,2025-12-01,8,105,2.8,321,0.44
410,2025-12-01,8,147,8.9,2,0.2
411,2025-12-01,8,102,10.0,29,0.08
412,2025-12-01,8,101,5.6,173,0.47
413,2025-12-01,8,115,1.3,90,0.25
414,2025-12-01,8,44,7.2,3,0.3
415,2025-12-01,8,24,9.8,7,0.33
416,2025-12-01,8,135,6.4,2,0.4
417,2025-12-01,8,55,34.7,12,0.57
418,2025-12-01,8,21,22.0,3,0.3
419,2025-12-01,8,37,10.5,1,0.07
420,2025-12-01,8,145,5.5,5,1.0
421,2025-12-01,8,43,16.5,1,0.2
422,2025-12-01,8,50,40.7,2,0.14
423,2025-12-01,8,22,65.2,6,0.2
424,2025-12-01,8,90,8.6,3,0.21
425,2025-12-01,8,2,29.5,6,0.29
426,2025-12-01,8,64,18.8,2,0.29
427,2025-12-01,8,83,9.3,2,0.4
428,2025-12-01,8,132,7.2,51,0.28
429,2025-12-01,8,140,5.1,3,0.6
430,2025-12-01,8,29,0.6,1,0.14
431,2025-12-01,8,94,12.7,135,0.75
432,2025-12-01,8,108,13.9,80,0.44
433,2025-12-01,8,18,7.8,20,0.95
434,2025-12-01,8,123,4.4,180,1.0
435,2025-12-01,8,46,1.0,6,0.86
436,2025-12-01,8,16,5.5,14,1.0
437,2025-12-01,8,137,16.9,5,1.0
438,2025-12-01,8,91,19.1,53,0.15
439,2025-12-01,8,59,17.5,0,0.0
440,2025-12-01,8,73,5.4,0,0.0
441,2025-12-01,8,142,7.7,171,0.95
442,2025-12-01,8,60,20.4,1,0.33
443,2025-12-01,8,10,11.4,4,0.5
444,2025-12-01,8,99,17.9,260,0.36
445,2025-12-01,8,1,52.8,1,0.14
446,2025-12-01,8,98,17.6,313,0.43
447,2025-12-01,8,120,19.2,250,0.68
448,2025-12-01,8,26,12.8,1,0.14
449,2025-12-01,8,139,9.7,3,1.0
450,2025-12-01,8,75,13.0,24,0.03
451,2025-12-01,8,122,5.2,214,0.59
452,2025-12-01,8,36,10.2,6,0.86
453,2025-12-01,8,6,5.7,6,0.86
454,2025-12-01,8,3,17.2,2,0.1
455,2025-12-01,8,84,9.9,1,0.07
456,2025-12-01,8,128,6.6,69,0.38
457,2025-12-01,8,127,11.4,13,0.11
458,2025-12-01,8,146,4.7,2,0.29
459,2025-12-01,8,144,11.6,0,0.0
460,2025-12-01,8,28,25.6,4,0.57
461,2025-12-01,8,47,42.9,6,0.86
462,2025-12-01,8,130,9.8,93,0.25
463,2025-12-01,9,29,5.8,2,0.29
464,2025-12-01,9,37,9.4,3,0.21
465,2025-12-01,9,85,6.5,0,0.0
466,2025-12-01,9,97,5.3,282,0.39
467,2025-12-01,9,93,1.8,29,0.08
468,2025-12-01,9,100,6.6,245,0.67
469,2025-12-01,9,65,10.8,0,0.0
470,2025-12-01,9,17,3.5,13,0.93
471,2025-12-01,9,71,3.4,2,1.0
472,2025-12-01,9,144,4.5,4,0.8
473,2025-12-01,9,105,7.2,56,0.08
474,2025-12-01,9,68,10.3,6,0.6
475,2025-12-01,9,70,2.9,2,1.0
476,2025-12-01,9,84,16.5,2,0.14
477,2025-12-01,9,76,6.6,677,0.93
478,2025-12-01,9,35,18.3,0,0.0
479,2025-12-01,9,91,12.3,219,0.6
480,2025-12-01,9,83,4.3,0,0.0
481,2025-12-01,9,146,2.7,2,0.29
482,2025-12-01,9,137,26.7,3,0.6
483,2025-12-01,9,110,10.8,510,0.7
484,2025-12-01,9,14,11.6,7,0.5
485,2025-12-01,9,80,8.0,0,0.0
486,2025-12-01,9,131,13.2,48,0.13
487,2025-12-01,9,43,2.8,2,0.4
488,2025-12-01,9,94,2.3,144,0.8
489,2025-12-01,9,61,7.2,2,0.67
490,2025-12-01,9,138,4.9,0,0.0
491,2025-12-01,9,27,16.4,4,0.8
492,2025-12-01,9,143,1.9,311,0.85
493,2025-12-01,9,24,22.9,3,0.14
494,2025-12-01,9,25,19.3,7,1.0
495,2025-12-01,9,75,13.8,557,0.76
496,2025-12-01,9,1,16.0,5,0.71
497,2025-12-01,9,141,0.3,0,0.0
498,2025-12-01,9,44,7.9,0,0.0
499,2025-12-01,9,135,7.8,4,0.8
500,2025-12-01,9,33,11.3,3,0.43
501,2025-12-01,9,18,3.4,20,0.95
502,2025-12-01,9,63,8.4,2,0.67
503,2025-12-01,9,19,1.8,3,0.6
504,2025-12-01,9,89,9.5,15,0.5
505,2025-12-01,9,112,4.4,17,0.02
506,2025-12-01,9,53,13.5,6,0.43
507,2025-12-01,9,104,10.6,154,0.08
508,2025-12-01,9,113,1.7,224,0.61
509,2025-12-01,9,95,20.3,157,0.43
510,2025-12-01,9,55,47.6,6,0.29
511,2025-12-01,9,79,14.3,2,0.4
512,2025-12-01,9,12,11.1,2,0.4
513,2025-12-01,9,28,21.4,7,1.0
514,2025-12-01,9,5,3.9,4,0.8
515,2025-12-01,9,81,12.2,1,0.2
516,2025-12-01,9,46,31.5,0,0.0
517,2025-12-01,10,137,10.2,1,0.2
518,2025-12-01,10,139,6.9,1,0.33
519,2025-12-01,10,4,17.6,14,1.0
520,2025-12-01,10,71,7.6,0,0.0
521,2025-12-01,10,143,1.3,291,0.8
522,2025-12-01,10,10,8.2,3,0.38
523,2025-12-01,10,148,4.3,8,0.8
524,2025-12-01,10,77,27.0,0,0.0
525,2025-12-01,10,93,9.2,47,0.13
526,2025-12-01,10,125,12.7,7,0.04
527,2025-12-01,10,145,7.3,1,0.2
528,2025-12-01,10,56,4.7,8,0.8
529,2025-12-01,10,3,11.1,17,0.81
530,2025-12-01,10,37,2.1,0,0.0
531,2025-12-01,10,128,3.3,16,0.09
532,2025-12-01,10,33,5.2,7,1.0
533,2025-12-01,10,106,8.9,106,0.59
534,2025-12-01,10,130,5.6,297,0.81
535,2025-12-01,10,136,5.4,4,0.8
536,2025-12-01,10,91,13.6,41,0.11
537,2025-12-01,10,43,11.3,4,0.8
538,2025-12-01,10,94,5.9,52,0.29
539,2025-12-01,10,142,2.6,96,0.53
540,2025-12-01,10,41,4.3,24,0.8
541,2025-12-01,10,144,6.2,4,0.8
542,2025-12-01,10,26,14.0,4,0.57
543,2025-12-01,10,100,10.5,296,0.81
544,2025-12-01,10,87,10.7,8,0.8
545,2025-12-01,10,64,7.1,1,0.14
546,2025-12-01,10,14,7.6,2,0.14
547,2025-12-01,10,109,12.6,188,0.52
548,2025-12-01,10,90,3.6,9,0.64
549,2025-12-01,10,83,18.5,2,0.4
550,2025-12-01,10,51,2.2,12,0.86
551,2025-12-02,1,35,17.1,4,0.8
552,2025-12-02,1,33,6.1,1,0.14
553,2025-12-02,1,17,13.4,9,0.64
554,2025-12-02,1,118,2.3,183,0.5
555,2025-12-02,1,62,8.2,0,0.0
556,2025-12-02,1,9,9.1,1,0.07
557,2025-12-02,1,61,7.3,3,1.0
558,2025-12-02,1,84,17.2,5,0.36
559,2025-12-02,1,98,14.7,553,0.76
560,2025-12-02,1,32,18.2,0,0.0
561,2025-12-02,1,108,23.9,172,0.96
562,2025-12-02,1,48,16.6,12,0.4
563,2025-12-02,1,65,20.7,1,0.14
564,2025-12-02,1,19,5.3,5,1.0
565,2025-12-02,1,67,6.8,1,0.33
566,2025-12-02,1,39,11.3,6,0.86
567,2025-12-02,1,96,8.3,6,0.03
568,2025-12-02,1,52,5.0,21,0.7
569,2025-12-02,1,69,5.4,18,0.86
570,2025-12-02,1,6,2.5,3,0.43
571,2025-12-02,1,18,3.3,14,0.67
572,2025-12-02,1,128,11.2,130,0.72
573,2025-12-02,1,66,6.5,1,0.33
574,2025-12-02,1,76,9.8,629,0.86
575,2025-12-02,1,81,5.5,5,1.0
576,2025-12-02,1,109,13.1,260,0.71
577,2025-12-02,1,26,17.2,4,0.57
578,2025-12-02,1,25,12.6,3,0.43
579,2025-12-02,1,143,2.5,304,0.83
580,2025-12-02,1,85,8.7,0,0.0
581,2025-12-02,1,40,21.2,56,0.93
582,2025-12-02,1,119,10.2,23,0.13
583,2025-12-02,1,97,30.9,262,0.36
584,2025-12-02,1,104,17.1,986,0.54
585,2025-12-02,1,56,12.2,3,0.3
586,2025-12-02,1,23,37.5,13,0.43
587,2025-12-02,1,137,20.9,2,0.4
588,2025-12-02,1,136,8.2,0,0.0
589,2025-12-02,1,89,11.0,16,0.53
590,2025-12-02,1,68,19.0,8,0.8
591,2025-12-02,1,38,17.5,13,0.93
592,2025-12-02,1,111,7.8,112,0.31
593,2025-12-02,1,105,2.1,691,0.95
594,2025-12-02,1,102,15.2,97,0.27
595,2025-12-02,2,70,5.8,0,0.0
596,2025-12-02,2,125,8.3,141,0.78
597,2025-12-02,2,129,13.6,53,0.29
598,2025-12-02,2,17,8.4,8,0.57
599,2025-12-02,2,1,12.5,5,0.71
600,2025-12-02,2,98,31.0,79,0.11
601,2025-12-02,2,60,21.3,1,0.33
602,2025-12-02,2,120,2.7,58,0.16
603,2025-12-02,2,135,5.1,0,0.0
604,2025-12-02,2,3,14.1,0,0.0
605,2025-12-02,2,80,12.5,2,0.67
