date,city,temp_c,humidity,precipitation_mm,wind_speed_kmh,condition,total_sold_kg,total_wasted_kg,revenue,stores_reporting
2024-01-15,Metro City,-0.7,60.1,0.0,10.9,Sunny,8262.5,996.7,24493.72,4
2024-01-16,Green Valley,10.6,44.8,0.0,32.2,Cloudy,4830.7,521.6,15152.51,3
2024-01-16,Harbor Town,8.8,39.5,0.0,13.1,Partly Cloudy,4677.9,526.5,14698.29,3
2024-01-16,Metro City,-4.4,40.8,0.0,20.2,Partly Cloudy,8448.6,926.8,25538.99,4
2024-01-17,Green Valley,1.8,39.4,0.0,0.0,Partly Cloudy,5055.4,541.3,14943.39,3
2024-01-17,Harbor Town,7.6,30.2,0.0,8.0,Partly Cloudy,5781.6,737.6,18590.43,3
2024-01-17,Metro City,2.1,35.5,0.3,26.0,Partly Cloudy,11353.8,1314.5,34823.87,4
2024-01-18,Green Valley,10.7,40.3,0.0,22.8,Partly Cloudy,4948.6,605.6,15277.68,3
2024-01-18,Harbor Town,5.8,42.0,0.0,0.0,Partly Cloudy,4863.2,596.8,14719.31,3
2024-01-18,Metro City,-0.7,32.6,0.0,18.9,Partly Cloudy,7999.6,849.6,24485.78,4
2024-01-19,Green Valley,6.6,38.4,0.0,11.4,Partly Cloudy,5168.8,566.0,16734.69,3
2024-01-19,Harbor Town,9.8,41.6,0.0,13.2,Partly Cloudy,5643.7,583.7,17989.59,3
2024-01-19,Metro City,-2.3,43.2,3.8,15.0,Rain,9999.6,984.3,31230.18,4
2024-01-20,Green Valley,9.1,41.2,0.9,5.9,Sunny,7374.3,830.9,23123.72,3
2024-01-20,Harbor Town,9.9,51.2,1.0,9.4,Sunny,7411.8,920.4,23113.07,3
2024-01-20,Metro City,-1.2,48.7,0.0,24.0,Sunny,13073.3,1290.6,43114.17,4
2024-01-21,Green Valley,7.5,34.4,0.0,22.4,Cloudy,6286.2,757.4,19637.5,3
2024-01-21,Harbor Town,5.6,37.7,0.9,22.2,Partly Cloudy,5955.9,662.4,20470.55,3
2024-01-21,Metro City,4.7,38.0,17.2,14.7,Heavy Rain,8702.5,988.8,25364.05,4
2024-01-22,Green Valley,10.6,51.9,0.0,8.1,Sunny,3897.1,515.5,12445.11,3
2024-01-22,Harbor Town,6.1,24.5,2.0,0.0,Rain,5140.3,611.8,16445.85,3
2024-01-22,Metro City,0.8,54.9,0.0,14.4,Sunny,5819.0,598.9,18082.23,4
2024-01-23,Green Valley,11.1,40.9,3.5,7.6,Rain,4576.0,546.7,15402.07,3
2024-01-23,Harbor Town,4.3,50.0,0.0,14.9,Sunny,6349.1,751.7,19440.86,3
2024-01-23,Metro City,3.6,37.7,0.0,0.0,Partly Cloudy,7450.2,817.0,23769.28,4
2024-01-24,Green Valley,12.9,38.7,0.6,7.4,Sunny,6383.9,687.0,20972.15,3
2024-01-24,Harbor Town,9.3,52.2,0.0,27.9,Sunny,6351.5,821.2,18862.78,3
2024-01-24,Metro City,3.8,54.4,0.0,15.8,Cloudy,4847.8,418.4,14195.36,4
2024-01-25,Green Valley,13.2,47.5,0.0,12.8,Sunny,5282.1,552.2,16836.56,3
2024-01-25,Harbor Town,10.3,55.4,0.0,14.7,Partly Cloudy,5650.0,686.5,18353.46,3
2024-01-25,Metro City,-2.3,33.1,0.0,12.8,Cloudy,8050.4,868.8,25150.28,4
2024-01-26,Green Valley,8.1,21.3,0.0,19.2,Sunny,7071.2,815.8,21247.59,3
2024-01-26,Harbor Town,3.5,45.0,0.0,15.4,Partly Cloudy,6847.7,690.8,22629.16,3
2024-01-26,Metro City,-2.1,20.6,3.6,12.4,Rain,9574.5,1179.8,28884.1,4
2024-01-27,Green Valley,9.5,47.1,0.0,11.2,Sunny,6127.4,719.6,19131.85,3
2024-01-27,Harbor Town,5.1,41.4,5.9,16.6,Rain,4537.1,501.6,13975.3,3
2024-01-27,Metro City,-1.0,42.9,1.7,13.9,Snow,11252.0,1405.0,35282.88,4
2024-01-28,Green Valley,16.6,50.1,0.3,3.7,Sunny,8343.0,989.7,25944.45,3
2024-01-28,Harbor Town,11.5,45.4,0.0,12.9,Sunny,8568.4,886.4,24561.33,3
2024-01-28,Metro City,4.5,51.8,0.0,0.0,Sunny,9916.4,1059.0,31159.35,4
2024-01-29,Green Valley,13.6,62.3,0.0,19.0,Cloudy,4131.4,442.2,13372.3,3
2024-01-29,Harbor Town,6.7,47.4,0.0,10.6,Sunny,4894.3,640.3,15960.96,3
2024-01-29,Metro City,0.3,39.6,0.0,16.4,Cloudy,8357.8,1028.7,23666.64,4
2024-01-30,Green Valley,10.6,32.1,0.0,5.2,Cloudy,5550.2,594.5,17036.79,3
2024-01-30,Harbor Town,9.3,41.6,0.0,20.0,Sunny,5969.0,621.9,18952.59,3
2024-01-30,Metro City,4.6,47.8,0.0,6.6,Cloudy,7832.7,797.8,25039.76,4
2024-01-31,Green Valley,11.4,46.8,0.0,14.5,Cloudy,6637.4,722.4,21456.48,3
2024-01-31,Harbor Town,7.7,53.0,0.0,14.1,Sunny,6020.6,745.4,19143.59,3
2024-01-31,Metro City,1.9,45.1,0.0,11.0,Sunny,8790.2,896.5,26904.2,4
2024-02-01,Green Valley,11.5,43.8,0.5,12.5,Sunny,4993.5,554.8,15330.72,3
2024-02-01,Harbor Town,12.6,32.6,0.0,1.9,Sunny,5612.1,628.2,17184.6,3
2024-02-01,Metro City,1.6,22.4,0.0,13.1,Sunny,9640.9,1121.3,29301.47,4
2024-02-02,Green Valley,12.6,48.2,0.0,21.4,Cloudy,4516.0,457.7,14356.71,3
2024-02-02,Harbor Town,11.0,41.7,1.1,7.0,Partly Cloudy,4990.4,629.2,15084.44,3
2024-02-02,Metro City,-5.1,45.9,0.0,19.7,Partly Cloudy,8387.3,1077.3,25419.21,4
2024-02-03,Green Valley,12.2,46.9,0.9,15.3,Sunny,6937.1,917.9,22040.6,3
2024-02-03,Harbor Town,13.3,29.6,3.4,11.6,Rain,7602.7,924.1,24543.07,3
2024-02-03,Metro City,4.3,39.5,0.0,5.7,Partly Cloudy,11746.7,1249.8,33352.17,4
2024-02-04,Green Valley,13.5,62.3,0.0,2.1,Sunny,5978.0,678.6,18678.01,3
2024-02-04,Harbor Town,7.5,40.3,0.0,26.5,Sunny,6880.1,852.9,20147.57,3
2024-02-04,Metro City,1.4,25.8,0.0,21.9,Sunny,11093.5,1267.8,33315.42,4
2024-02-05,Green Valley,9.6,40.7,0.0,25.9,Partly Cloudy,3903.0,356.5,11671.59,3
2024-02-05,Harbor Town,10.1,43.9,0.0,15.8,Partly Cloudy,3770.6,449.9,11521.39,3
2024-02-05,Metro City,-0.8,50.1,0.0,25.8,Sunny,7731.7,902.6,24261.58,4
2024-02-06,Green Valley,14.3,47.6,0.0,23.1,Partly Cloudy,4539.2,528.9,14432.25,3
2024-02-06,Harbor Town,7.9,44.1,0.0,8.7,Sunny,7473.4,862.8,22513.58,3
2024-02-06,Metro City,1.9,30.8,1.7,17.9,Partly Cloudy,7516.8,804.1,22822.82,4
2024-02-07,Green Valley,16.0,37.8,0.1,15.1,Sunny,5835.5,694.8,18233.71,3
2024-02-07,Harbor Town,8.8,44.7,0.0,8.1,Cloudy,5396.7,697.2,16164.64,3
2024-02-07,Metro City,1.9,61.6,1.4,30.3,Sunny,9967.2,1032.8,30539.76,4
2024-02-08,Green Valley,11.7,20.6,0.0,9.8,Partly Cloudy,3722.5,387.4,10962.9,3
2024-02-08,Harbor Town,7.8,43.4,0.0,12.0,Sunny,5597.3,632.1,16992.59,3
2024-02-08,Metro City,0.5,48.9,0.0,14.0,Sunny,8496.2,1045.5,25152.32,4
2024-02-09,Green Valley,10.5,46.0,1.4,24.8,Sunny,4916.8,511.3,14903.71,3
2024-02-09,Harbor Town,10.8,45.5,2.3,14.7,Rain,6089.0,571.4,19429.17,3
2024-02-09,Metro City,1.4,35.0,0.0,6.6,Sunny,9728.1,1101.9,29897.49,4
2024-02-10,Green Valley,11.9,40.0,4.1,11.9,Rain,5897.2,723.7,18258.51,3
2024-02-10,Harbor Town,11.4,46.0,1.1,7.0,Partly Cloudy,6642.9,691.6,20569.37,3
2024-02-10,Metro City,3.3,37.6,2.3,6.5,Rain,10648.1,1097.6,35193.66,4
2024-02-11,Green Valley,17.7,32.3,0.8,2.5,Sunny,5451.6,638.1,19640.68,3
2024-02-11,Harbor Town,8.0,34.0,0.0,23.8,Partly Cloudy,7427.7,737.7,24458.74,3
2024-02-11,Metro City,6.7,30.6,0.0,4.9,Cloudy,12891.0,1405.3,40427.88,4
2024-02-12,Green Valley,16.3,45.6,3.1,12.8,Rain,3484.6,281.2,10902.31,3
2024-02-12,Harbor Town,10.9,30.4,0.0,15.3,Partly Cloudy,3950.7,474.0,11385.59,3
2024-02-12,Metro City,1.7,44.2,0.4,6.6,Sunny,6489.7,718.3,20930.81,4
2024-02-13,Green Valley,13.2,58.1,2.4,14.8,Rain,4785.2,655.5,15052.01,3
2024-02-13,Harbor Town,15.3,39.3,0.0,20.8,Sunny,5497.0,693.0,18104.18,3
2024-02-13,Metro City,0.6,29.1,2.6,20.2,Rain,6802.8,878.6,22105.56,4
2024-02-14,Green Valley,17.1,37.7,0.0,6.3,Partly Cloudy,5116.6,569.4,15461.76,3
2024-02-14,Harbor Town,5.6,31.4,0.0,7.1,Sunny,4641.0,503.3,15105.43,3
2024-02-14,Metro City,-3.4,33.5,0.0,26.3,Cloudy,9145.3,914.1,26738.37,4
2024-02-15,Green Valley,15.8,52.5,1.5,33.3,Sunny,4978.4,551.1,15449.01,3
2024-02-15,Harbor Town,8.0,28.8,0.0,15.3,Sunny,5196.2,559.3,17113.42,3
2024-02-15,Metro City,2.8,51.9,0.0,28.2,Sunny,7833.9,883.2,23552.69,4
2024-02-16,Green Valley,14.6,45.1,2.1,23.5,Rain,5909.3,572.4,17509.79,3
2024-02-16,Harbor Town,8.8,20.0,0.0,12.7,Cloudy,7450.0,812.3,22483.42,3
2024-02-16,Metro City,2.5,48.4,0.0,14.9,Sunny,9787.4,1165.4,28692.63,4
2024-02-17,Green Valley,6.8,32.4,0.2,4.7,Cloudy,6871.9,711.9,22316.85,3
2024-02-17,Harbor Town,10.3,20.3,0.0,4.3,Cloudy,8537.7,1046.6,26502.73,3
2024-02-17,Metro City,-0.6,43.1,0.0,9.7,Partly Cloudy,9626.0,1018.3,30899.52,4
2024-02-18,Green Valley,9.1,33.2,0.0,24.7,Sunny,7606.2,804.1,24298.65,3
2024-02-18,Harbor Town,10.4,38.8,0.0,15.2,Sunny,7518.7,799.6,22855.5,3
2024-02-18,Metro City,6.0,36.6,0.0,15.8,Sunny,10029.2,1265.7,32080.09,4
2024-02-19,Green Valley,8.8,28.5,0.0,20.9,Cloudy,4788.3,628.2,15290.93,3
2024-02-19,Harbor Town,11.6,34.2,0.0,10.8,Sunny,3869.4,441.5,12318.72,3
2024-02-19,Metro City,5.8,44.9,1.7,11.3,Sunny,7685.3,817.8,23654.76,4
2024-02-20,Green Valley,8.1,49.6,0.0,13.2,Sunny,6009.7,632.5,18311.63,3
2024-02-20,Harbor Town,12.7,37.0,0.0,19.2,Sunny,6925.8,730.1,21189.01,3
2024-02-20,Metro City,7.7,32.5,0.0,5.2,Cloudy,6111.0,719.1,19472.41,4
2024-02-21,Green Valley,17.1,28.1,0.0,7.4,Sunny,4201.4,518.9,13762.02,3
2024-02-21,Harbor Town,10.8,26.1,0.0,25.5,Cloudy,4437.6,554.2,14016.72,3
2024-02-21,Metro City,7.3,39.5,0.0,5.3,Cloudy,6060.6,666.5,18976.4,4
2024-02-22,Green Valley,13.9,26.9,0.0,4.9,Partly Cloudy,4733.7,534.8,15066.51,3
2024-02-22,Harbor Town,9.7,25.8,0.2,16.2,Partly Cloudy,4132.7,473.1,14347.1,3
2024-02-22,Metro City,4.6,40.1,0.0,34.6,Cloudy,8682.5,975.3,29342.8,4
2024-02-23,Green Valley,14.1,25.2,0.0,11.5,Partly Cloudy,4494.9,519.2,13578.44,3
2024-02-23,Harbor Town,10.6,48.6,0.8,14.5,Cloudy,6449.5,691.1,20808.09,3
2024-02-23,Metro City,-0.7,34.0,0.0,22.1,Partly Cloudy,10403.2,1190.1,32530.78,4
2024-02-24,Green Valley,16.5,25.2,0.1,20.4,Sunny,7287.7,834.6,21293.06,3
2024-02-24,Harbor Town,7.0,31.3,0.0,11.4,Cloudy,8046.2,1023.7,25135.62,3
2024-02-24,Metro City,6.5,32.7,0.0,13.2,Sunny,12714.9,1399.6,40952.87,4
2024-02-25,Green Valley,18.0,30.9,0.8,14.7,Sunny,8167.9,983.1,25153.41,3
2024-02-25,Harbor Town,10.1,35.1,0.0,21.9,Sunny,7519.0,776.0,22727.02,3
2024-02-25,Metro City,7.9,38.3,0.0,14.7,Partly Cloudy,11476.8,1263.4,35863.64,4
2024-02-26,Green Valley,20.3,34.7,0.0,17.5,Cloudy,3939.5,472.7,12329.07,3
2024-02-26,Harbor Town,7.9,47.7,0.0,16.3,Sunny,4428.1,479.1,13506.64,3
2024-02-26,Metro City,7.2,27.7,0.0,22.8,Sunny,5794.0,682.5,18575.26,4
2024-02-27,Green Valley,14.3,41.6,0.0,11.7,Cloudy,3637.1,385.5,11729.69,3
2024-02-27,Harbor Town,10.3,29.6,0.0,7.8,Sunny,5196.2,662.2,16680.46,3
2024-02-27,Metro City,10.0,51.0,0.0,10.9,Sunny,8288.1,968.9,26297.91,4
2024-02-28,Green Valley,11.7,43.3,0.0,11.4,Sunny,6588.1,715.8,20148.55,3
2024-02-28,Harbor Town,12.4,28.3,0.0,29.8,Cloudy,7315.5,781.2,23350.14,3
2024-02-28,Metro City,8.4,56.2,0.0,13.0,Sunny,10449.6,1165.1,32558.28,4
2024-02-29,Green Valley,17.7,45.7,0.0,15.4,Sunny,5832.8,669.5,18385.81,3
2024-02-29,Harbor Town,12.0,37.0,0.0,2.8,Sunny,4607.8,525.6,14513.37,3
2024-02-29,Metro City,8.0,28.6,0.0,9.2,Partly Cloudy,9162.8,1025.2,28891.58,4
2024-03-01,Green Valley,11.2,41.3,5.3,18.3,Rain,6644.0,761.0,21412.6,3
2024-03-01,Harbor Town,9.8,30.7,0.0,10.6,Sunny,7586.2,818.0,22584.31,3
2024-03-01,Metro City,11.0,20.5,0.0,19.5,Sunny,9778.8,1192.5,29886.31,4
2024-03-02,Green Valley,8.8,22.4,0.0,25.4,Partly Cloudy,6382.9,751.9,19960.04,3
2024-03-02,Harbor Town,12.5,38.5,2.8,13.6,Rain,8004.6,916.8,25437.05,3
2024-03-02,Metro City,6.9,38.4,0.0,16.1,Partly Cloudy,10577.9,1158.1,33937.24,4
2024-03-03,Green Valley,15.2,29.0,0.0,26.7,Sunny,5083.2,535.5,14955.78,3
2024-03-03,Harbor Town,13.5,26.8,0.0,2.6,Cloudy,8806.6,980.6,26526.8,3
2024-03-03,Metro City,6.2,39.4,0.0,18.8,Partly Cloudy,8865.1,917.1,27849.03,4
2024-03-04,Green Valley,14.9,23.4,0.0,1.7,Cloudy,3250.4,366.1,9443.21,3
2024-03-04,Harbor Town,11.7,20.0,0.0,12.8,Sunny,3517.4,423.2,11430.29,3
2024-03-04,Metro City,10.3,41.6,1.3,16.8,Sunny,7008.8,778.5,21570.69,4
2024-03-05,Green Valley,13.8,31.6,0.0,18.7,Sunny,5662.3,607.2,19039.48,3
2024-03-05,Harbor Town,16.3,47.3,1.1,10.5,Cloudy,6056.8,651.9,18689.15,3
2024-03-05,Metro City,4.2,33.0,0.8,12.5,Partly Cloudy,10525.3,1059.9,33083.07,4
2024-03-06,Green Valley,14.5,45.6,0.0,26.1,Partly Cloudy,4608.0,543.6,14428.26,3
2024-03-06,Harbor Town,13.1,43.0,2.6,9.4,Rain,4876.7,637.8,15499.69,3
2024-03-06,Metro City,5.2,40.9,0.6,14.5,Sunny,8767.8,1064.6,26359.29,4
2024-03-07,Green Valley,15.3,48.3,0.0,14.2,Sunny,4589.8,531.3,14811.24,3
2024-03-07,Harbor Town,13.4,34.9,0.0,27.5,Sunny,4703.8,530.7,16423.95,3
2024-03-07,Metro City,7.3,32.7,0.0,19.1,Partly Cloudy,7519.4,925.7,23554.27,4
2024-03-08,Green Valley,14.7,37.4,0.2,7.2,Cloudy,5568.8,640.3,17421.01,3
2024-03-08,Harbor Town,8.7,45.3,0.0,21.0,Cloudy,7599.2,784.3,23015.18,3
2024-03-08,Metro City,10.9,43.0,0.0,18.3,Partly Cloudy,8032.1,963.8,26716.8,4
2024-03-09,Green Valley,14.5,28.1,0.0,16.5,Cloudy,5910.6,657.3,17537.21,3
2024-03-09,Harbor Town,14.8,37.6,0.8,4.9,Partly Cloudy,9346.3,1142.2,29002.17,3
2024-03-09,Metro City,8.6,31.2,0.0,19.4,Sunny,12771.9,1450.0,40714.2,4
2024-03-10,Green Valley,18.8,27.5,0.0,15.3,Partly Cloudy,8172.5,854.5,23641.73,3
2024-03-10,Harbor Town,10.4,37.3,0.6,16.9,Partly Cloudy,6419.8,690.8,19917.46,3
2024-03-10,Metro City,9.1,27.0,0.0,1.7,Sunny,12671.6,1312.0,39019.41,4
2024-03-11,Green Valley,14.2,45.6,0.0,17.3,Cloudy,3569.1,359.7,11312.98,3
2024-03-11,Harbor Town,12.7,49.9,0.0,21.9,Sunny,4762.0,573.1,15267.16,3
2024-03-11,Metro City,7.8,20.9,1.7,18.6,Sunny,7009.0,724.9,22792.49,4
2024-03-12,Green Valley,15.7,50.2,0.0,10.2,Sunny,6642.3,774.9,20708.9,3
2024-03-12,Harbor Town,15.4,39.9,0.0,9.2,Sunny,5293.5,599.6,16066.59,3
2024-03-12,Metro City,12.4,22.3,0.0,11.9,Sunny,11005.8,1216.8,35275.2,4
2024-03-13,Green Valley,16.2,35.1,0.0,13.6,Partly Cloudy,6196.0,717.0,18720.67,3
2024-03-13,Harbor Town,14.4,28.4,0.0,17.5,Sunny,5144.4,566.5,15112.02,3
2024-03-13,Metro City,10.8,28.9,0.9,25.1,Cloudy,7720.1,835.0,24419.6,4
2024-03-14,Green Valley,20.6,25.8,0.0,0.0,Partly Cloudy,4397.9,508.0,12773.72,3
2024-03-14,Harbor Town,11.3,33.9,0.0,10.9,Sunny,5200.2,485.1,15605.0,3
2024-03-14,Metro City,9.3,62.3,0.0,11.1,Cloudy,10614.5,1294.6,32921.33,4
2024-03-15,Green Valley,14.5,33.9,0.0,21.6,Sunny,5774.1,653.4,18552.31,3
2024-03-15,Harbor Town,16.0,44.7,6.9,11.9,Rain,6625.7,679.4,21029.84,3
2024-03-15,Metro City,5.2,45.3,0.0,17.5,Partly Cloudy,6163.1,695.0,19777.8,4
2024-03-16,Green Valley,14.6,29.1,0.0,26.3,Sunny,6445.8,686.5,21542.19,3
2024-03-16,Harbor Town,12.9,42.9,0.0,22.7,Sunny,8304.6,931.0,24851.4,3
2024-03-16,Metro City,12.9,39.4,0.5,12.9,Sunny,11310.2,1286.8,36723.21,4
2024-03-17,Green Valley,17.9,40.7,0.0,26.3,Partly Cloudy,7177.4,831.5,22346.46,3
2024-03-17,Harbor Town,17.1,36.4,0.0,5.7,Cloudy,5919.3,759.5,19106.89,3
2024-03-17,Metro City,7.2,52.7,0.0,20.7,Partly Cloudy,10377.8,1205.3,33266.5,4
2024-03-18,Green Valley,17.3,44.9,0.0,25.6,Partly Cloudy,3586.1,419.3,11445.72,3
2024-03-18,Harbor Town,12.3,40.9,0.0,13.5,Sunny,6625.5,754.7,20602.32,3
2024-03-18,Metro City,10.5,30.6,0.0,9.8,Sunny,9178.9,1077.7,28707.98,4
2024-03-19,Green Valley,13.1,44.6,0.0,0.0,Sunny,6443.1,834.6,19954.19,3
2024-03-19,Harbor Town,15.6,43.4,2.8,20.2,Rain,6378.3,710.2,18750.96,3
2024-03-19,Metro City,14.3,44.4,0.0,18.9,Partly Cloudy,7479.3,845.2,24455.29,4
2024-03-20,Green Valley,20.5,37.4,0.0,6.9,Partly Cloudy,4986.2,580.5,15320.1,3
2024-03-20,Harbor Town,14.9,23.6,0.0,9.4,Partly Cloudy,4835.5,458.9,14866.9,3
2024-03-20,Metro City,11.4,20.0,0.0,21.7,Sunny,6640.9,756.2,21689.8,4
2024-03-21,Green Valley,19.0,20.0,7.7,22.3,Rain,6651.2,728.1,21118.27,3
2024-03-21,Harbor Town,15.9,30.4,0.0,16.6,Partly Cloudy,5711.2,680.7,17863.79,3
2024-03-21,Metro City,15.0,42.3,0.0,15.7,Sunny,8458.1,1033.1,26328.4,4
2024-03-22,Green Valley,13.3,58.5,0.0,10.1,Sunny,6334.5,756.3,19350.9,3
2024-03-22,Harbor Town,11.4,27.1,0.0,22.0,Partly Cloudy,5520.5,683.4,17020.82,3
2024-03-22,Metro City,13.1,23.9,0.0,12.4,Sunny,8773.2,919.6,26433.3,4
2024-03-23,Green Valley,14.7,24.1,0.0,21.1,Sunny,6529.0,732.8,19900.12,3
2024-03-23,Harbor Town,16.1,43.0,5.2,23.3,Rain,6016.8,806.8,17630.77,3
2024-03-23,Metro City,13.0,23.6,0.0,4.2,Sunny,11531.0,1313.8,35495.42,4
2024-03-24,Green Valley,18.5,25.3,0.1,19.8,Partly Cloudy,6961.4,734.7,20829.18,3
2024-03-24,Harbor Town,11.6,22.5,0.0,12.8,Cloudy,6592.0,765.7,19589.03,3
2024-03-24,Metro City,8.9,56.5,0.0,18.2,Partly Cloudy,9996.3,1052.7,29633.16,4
2024-03-25,Green Valley,17.1,44.8,0.0,1.9,Cloudy,4116.0,518.3,13098.68,3
2024-03-25,Harbor Town,19.8,38.7,0.0,21.1,Sunny,3712.3,454.6,11498.5,3
2024-03-25,Metro City,11.8,35.6,3.1,21.6,Rain,7284.6,782.4,23442.66,4
2024-03-26,Green Valley,18.3,46.1,1.7,13.8,Partly Cloudy,5210.4,604.7,16340.87,3
2024-03-26,Harbor Town,16.6,52.6,0.0,2.3,Sunny,6406.2,806.2,20927.86,3
2024-03-26,Metro City,16.1,32.7,4.3,18.7,Rain,6756.9,814.3,21606.03,4
2024-03-27,Green Valley,18.5,20.2,0.5,24.7,Sunny,5481.0,618.7,17110.75,3
2024-03-27,Harbor Town,10.3,37.9,0.0,9.5,Sunny,5558.0,591.9,17689.5,3
2024-03-27,Metro City,14.9,29.4,0.0,21.5,Sunny,7528.2,865.5,22180.72,4
2024-03-28,Green Valley,23.1,38.7,1.8,11.5,Sunny,5644.6,657.2,17904.08,3
2024-03-28,Harbor Town,15.8,28.4,0.0,20.7,Sunny,5378.0,727.8,16840.92,3
2024-03-28,Metro City,16.5,43.6,0.0,6.1,Partly Cloudy,8557.5,1017.1,27048.42,4
2024-03-29,Green Valley,22.0,47.0,0.0,10.5,Sunny,6715.7,726.9,21398.6,3
2024-03-29,Harbor Town,12.0,20.0,0.0,0.0,Sunny,4318.0,449.0,13302.54,3
2024-03-29,Metro City,14.9,29.5,0.0,13.4,Sunny,10370.6,1050.3,32768.61,4
2024-03-30,Green Valley,19.4,36.1,0.0,13.6,Sunny,7311.0,848.7,23978.24,3
2024-03-30,Harbor Town,11.6,22.6,0.0,13.8,Partly Cloudy,8028.4,835.0,26200.43,3
